ano,mes,tributo,decendio,arrecadacao_bruta,retificacao,compensacao,restituicao,outros,arrecadacao_liquida
2019,5,IR,1º decêndio,2450938810.8,705101.79,-21236820.22,-41855595.79,122520031.61,2511071528.19
2019,8,IR,1º decêndio,2232030395.6,2975016.73,-762291998.05,-32186694.32,98560003.48,1539086723.44
2019,7,IR,1º decêndio,3672859029.8,-2837780.65,-486239120.68,-38209692.02,121981345.15,3267553781.6
2019,9,IR,1º decêndio,2254011062.92,875056.89,54957578.41,-31114279.94,106692325.11,2385421743.39
2019,2,IR,1º decêndio,2023839261.98,10335406.17,393765785.37,-93572686.66,103296060.68,2437663827.54
2019,1,IR,1º decêndio,5635792580.98,,111504665.87,-6439339.11,62824531.47,5803682439.21
2019,3,IR,1º decêndio,1745368004.09,2937731.97,37570661.71,-17228249.59,44403213.64,1813051361.82
2019,6,IR,1º decêndio,8083441399.33,1279393.83,-1678661295.29,-17367199.13,91425493.39,6480117792.13
2019,4,IR,1º decêndio,3133382771.83,1325719.61,-445031500.29,-37703920.3,112094591.38,2764067662.23
2019,10,IR,1º decêndio,2362545422.26,1158988152.19,-180325707.19,-227333716.58,137018226.62,3250892377.3
2019,12,IR,1º decêndio,9408422490.54,-2101552.62,222380492.33,-72105304.33,137393131.72,9693989257.64
2019,11,IR,1º decêndio,3509106272.31,-3108478.51,207826720.13,-11637658.08,97914479.85,3800101335.7
2019,8,IR,2º decêndio,9695133330.16,-1009634.48,-598570392.65,-42169329.93,1019372728.27,10072756701.37
2019,6,IR,2º decêndio,10328259916.16,1667257.34,-821829801.32,-187714329.45,641265037.35,9961648080.08
2019,11,IR,2º decêndio,10328269897.44,-973420.23,-146963960.97,-14004970.34,898309650.04,11064637195.94
2019,5,IR,2º decêndio,10667008624.52,72622522.72,200602708.87,-51606506.69,967794832.87,11856422182.29
2019,7,IR,2º decêndio,10257398091.72,141845.73,1034305457.13,-5605211.92,525044078.42,11811284261.08
2019,12,IR,2º decêndio,14442112098.32,2574587.08,-280446644.42,-245651951.79,1161995427.88,15080583517.07
2019,10,IR,2º decêndio,10654452860.06,4091651.53,-296939359.23,-9522631.62,540469275.66,10892551796.4
2019,2,IR,2º decêndio,9811770404.39,1359326.57,82311428.8,-14685728.83,947567967.73,10828323398.66
2019,9,IR,2º decêndio,10104833106.69,-16591892.01,-612435555.84,-144320825.57,974393207.69,10305878040.96
2019,1,IR,2º decêndio,15469631285.7,10245773080.75,84285203.4,-102838658.28,-6573122759.31,19123728152.26
2019,4,IR,2º decêndio,12569129368.68,-50484131.87,147046870.81,-11985890.65,459375464.8,13113081681.77
2019,3,IR,2º decêndio,11538060802.9,7049544.25,473341722.47,-98682435.25,908282588.31,12828052222.68
2019,1,IR,3º decêndio,30839169440.9,-685075.85,-839059820.64,-727830703.83,906037792.39,30177631632.97
2019,9,IR,3º decêndio,14527630691.69,1649812.6,-645534105.77,-3834845800.46,376760933.37,10425661531.43
2019,8,IR,3º decêndio,19355857062.34,-10466662.58,-1833273690.27,-4082684217.56,376721834.31,13806154326.24
2019,6,IR,3º decêndio,14127851214.77,105131.91,-182272930.35,-5359154563.65,906587587.14,9493116439.82
2019,2,IR,3º decêndio,18218927398.59,-6665528.51,-1088864900.71,-545828285.04,351135873.86,16928704558.19
