ano,mes,natureza_juridica_codigo,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas
2022,12,1015,,,,,273445.15,1957391460.11,,,524759.63,410089672.85,195796.98,563546.7,196528006.11,750518594.9,271842431.22,5448860.35,1673085.68
2022,10,1015,240.0,,37769.48,,6000801.83,1463244725.54,,,322799.99,284881286.24,2683156.59,426379.15,1983358.81,803670903.78,133418295.92,414891.05,469431.27
2022,7,1015,247.97,,2179.1,,455652.53,1467184376.52,,,238814.7,315911499.93,129552.93,218063.79,3001.17,843279386.0,157662433.37,1053591.32,3956116.05
2022,5,1015,,,,,642202.76,1426066536.0,,,398734.34,308070017.79,297879.42,199255.6,100312.88,826985304.8,163164222.47,1684201.36,891071.07
2022,3,1015,,90220.64,,,449692.67,1436373555.25,,,674515.85,457698806.0,128051.63,287928.38,,842478668.29,170336541.36,34183682.05,442484984.02
2022,6,1015,,,,,1677607.26,1461370590.07,24750.79,,272788.45,493781094.09,871580.88,339543.39,3864.53,862175969.42,155390237.44,1917270.93,327922.38
2022,2,1015,,,67387.37,423.16,548185.6,1432418720.11,170.26,,408301.47,306372447.38,208384.05,148357.46,,836907020.19,105180587.79,531249.71,628835468.66
2022,4,1015,,,26715.34,,3812349.04,1429482177.01,121594.61,,500820.16,275582351.96,1628995.62,1586352.08,,854062786.95,156584721.43,10749779.2,1557902014.05
2022,1,1015,,,,,2650480.95,1246272688.85,,,490169.97,365225886.62,1462807.45,30526.37,121.0,839214053.01,70831036.46,589460.6,472097043.2
2022,8,1015,22.06,,14.24,,1785904.98,1457274189.25,,,325294.92,350384345.55,104526.27,16240.46,102263.31,820217287.02,168428728.24,41982629.79,385400.58
2022,9,1015,160.0,,5014.0,,160240.19,1465383199.15,,,318632.78,379797305.6,100665.57,273100.19,,819554347.27,163250666.5,553143.55,1038124.75
2022,11,1015,,6949.5,793.36,,326572.34,2822646601.93,,,307436.82,313972978.61,117746.1,1572467.78,114985650.91,1594807554.59,168610630.32,1267681.74,258222.16
2022,5,1023,,,,,,1438876.02,,,128.4,107134161.51,42.8,,5661012.51,2494.64,18919.03,44704.72,
2022,11,1023,,,,,23.9,151250.94,,,427333.72,83225695.8,11.48,,889766764.68,2494.64,68783.5,27694.85,29532.8
2022,10,1023,,,,,23.9,147737.75,,,,93315081.22,1588.86,,7163404.65,2494.64,227517.17,13722.27,11750.25
2022,4,1023,,,,,152.99,535626.59,,,16.75,107324782.44,1509.44,,5634060.4,2391.28,5417.3,55377.35,12274.05
2022,8,1023,,,,,47.8,894656.44,,,54.0,109918929.41,18.0,,6039512.98,4989.28,5667.71,36510.48,2102.85
2022,9,1023,,,,,116.09,168496.72,,61.75,59891.41,89478788.75,19959.08,,5967981.49,2494.64,24678.87,271379.76,37282.0
2022,7,1023,,,,,2251.19,778654.97,,,1495.82,97218970.79,493.64,,5774690.62,,139584.52,58317.84,162242.24
2022,2,1031,,,,,,11984.63,,,2212.68,4781223.02,737.55,,2752089.74,,48022.99,104778.83,3921.52
2022,12,1031,,,,,,23276.54,,,66.0,3411078.17,22.0,,229884451.18,,15762.14,39815.73,11319.32
2022,3,1031,,,,,,22542.99,,,1886.21,3020529.67,628.73,,2850036.89,,24939.22,91249.28,48162.01
2022,1,1031,,,,,,25542.33,,,2146.75,5209844.9,715.58,,2221935.61,,34565.49,64152.58,29181.72
2022,9,1031,,,,,,18424.84,,,358.2,3493171.51,119.4,,1399886.5,,12221.55,82416.97,21168.58
2022,4,1031,,,,,,12685.62,,,1915.29,3606353.72,639.9,,2835276.21,,23216.4,259192.24,9471.51
2022,8,1040,,,,,,121171298.52,,,19099.46,4138.22,6366.48,,,118937829.22,6786788.37,,
2022,9,1040,,,,,,120888702.61,,,20938.81,4536.74,6979.6,,,117610988.06,6806404.3,254.23,
2022,10,1040,,,,,,120539030.72,,,19428.47,4209.5,6476.17,5950.98,,116621124.64,5288519.52,,
2022,11,1040,,,,,,162372251.49,,,23997.23,5199.4,7999.07,5248.09,36456260.45,153292534.69,6039841.0,154.23,
2022,2,1040,,,,,,122057263.13,,,13219.13,2864.15,4406.39,,,119515950.33,4968977.97,,
2022,7,1040,,,,,,122252480.23,,,21252.64,4604.74,7084.21,5462.36,,118637287.07,4643889.35,223.64,
2022,3,1040,,,,,,122913375.99,,,13658.95,2959.44,4553.0,,,119778476.88,6604525.8,,
