secao_sigla,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas,data
A,1575635.77,34618.66,698886.0,0.0,41896835.94,29017807.27,632821.48,2214506.32,30520537.98,6852591.66,21930939.18,75249.08,7065759.19,0.0,36078159.18,1700402.92,3051576.11,2016-03-01
A,1229933.11,273.08,519137.19,13399.85,24834506.99,29122496.81,600826.9,5071313.01,26623502.28,6141712.48,13071510.27,72371.1,6697873.21,0.0,39343999.5,1208510.1,2865250.26,2016-05-01
A,4039537.48,18504.9,831144.41,0.0,22092666.21,32770306.38,860705.56,122415481.32,34052851.85,7623295.17,12096247.99,69534.3,6802046.23,0.0,39028342.63,1492325.77,2521314.11,2016-09-01
A,1617722.16,0.0,590870.81,0.0,91195256.22,32320158.36,500671.24,1014005.13,27364595.21,6368714.02,51345359.66,235264.21,7132858.65,0.0,38624313.53,2185247.54,1560403.46,2016-04-01
A,1415170.33,0.0,855834.96,0.0,112998999.12,32323554.37,475707.09,19893954.58,34848162.19,7586230.57,63224156.93,133268.64,6175068.99,0.0,40330823.96,1797111.96,2024281.88,2016-10-01
A,1380913.58,0.0,680846.78,0.0,24217648.15,33913970.13,653682.5,1540218.83,30013386.78,6724326.17,12668891.63,80752.62,6716215.95,0.0,40346431.02,2236680.44,3464488.33,2016-06-01
A,2094760.76,0.0,925073.11,0.0,21103990.54,31279512.21,448812.16,1211772.68,31819163.72,7420773.34,11836087.48,101055.74,6992516.43,0.0,40107840.7,2891891.97,5166375.33,2016-08-01
A,1630743.54,0.0,623501.7,31.14,102763714.21,35297654.13,1348612.53,1429560.32,32679617.94,7403123.41,59821466.56,161367.06,16581911.45,0.0,49581031.87,3394995.53,3305771.25,2016-07-01
A,2742218.39,0.0,893858.53,0.0,146667897.73,49347429.86,609206.8,2222251.21,37609112.67,8484832.27,77514368.33,142078.76,8008290.28,0.0,41971216.43,3377850.67,1511240.76,2016-01-01
A,2607794.78,26399.2,925514.37,0.0,31459894.27,37908437.54,581075.19,15196202.74,33041038.94,7355554.54,15273584.96,175394.77,8127696.16,0.0,40491951.4,2812454.53,1876420.78,2016-12-01
A,2219199.64,0.0,810936.67,0.0,25960835.07,31735411.74,592998.98,16878675.46,32032922.94,7363807.43,15255284.17,87526.05,8463049.33,4501.01,37754972.12,1961969.17,2029330.57,2016-11-01
A,2213079.99,0.0,433207.11,0.0,27466503.54,27269350.44,552689.97,2228377.08,26494541.91,6149525.35,14510819.11,124924.56,7485957.93,0.0,35991082.79,2740481.58,3371842.85,2016-02-01
B,20115087.3,0.0,11155367.91,0.0,57144446.91,103063559.88,886881.11,322518.0,99960241.06,21007412.46,27585778.48,6128628.72,4071753.06,0.0,161129684.5,2390518.11,204430556.82,2016-08-01
B,19717438.79,0.0,9833769.86,0.0,51425425.42,197506337.97,536388.22,11868763.42,97083984.0,20748875.69,40709154.15,9422563.62,4554487.76,0.0,158888879.59,4539873.86,209924621.56,2016-09-01
B,30612124.87,0.0,17095226.13,0.0,66531131.84,135779737.6,831720.32,9131.64,122383267.55,25934538.57,40365109.15,15078211.94,5160210.86,0.0,157723585.16,3102345.04,190718283.98,2016-06-01
B,28846650.44,0.0,17998984.1,0.0,62759995.07,119586229.99,538305.2,128401.68,117179526.65,24518504.1,59010311.94,6153543.96,5621300.55,0.0,154996021.1,5438005.19,224128636.99,2016-02-01
B,22374091.2,0.0,16163412.45,0.0,100853337.31,92924733.35,718810.29,110146.81,95298031.04,19912595.46,79300084.38,6689550.87,8016288.61,0.0,154470357.08,2113201.62,726369121.6,2016-07-01
B,42899799.99,0.0,24953912.9,0.0,516453293.87,163430757.24,1230716.94,2391927.42,122691146.84,25694934.49,212367626.69,13041968.55,11200042.79,0.0,160988934.95,1448689.59,613493926.42,2016-01-01
B,36971776.47,0.0,20503935.32,0.0,122901032.94,134990322.95,875019.59,50860.88,118454095.45,24960852.42,59549205.64,11549596.03,4819020.81,0.0,153192875.69,3666955.09,121159170.45,2016-03-01
B,31638862.46,0.0,18281116.74,0.0,54914681.35,98596933.51,1250014.46,618628.7,119337830.74,25175353.1,35071353.86,4453982.55,5899882.45,0.0,156426770.86,2593934.63,495747429.2,2016-05-01
B,18031846.63,0.0,10309600.45,0.0,81907612.36,132706790.9,546593.91,236628.62,100475798.05,21982011.05,38802862.52,7197839.57,4018797.98,0.0,157758273.17,1556723.16,223670802.86,2016-12-01
B,18703998.44,0.0,9677935.51,0.0,68371121.94,200110832.42,673432.73,324037.41,96572416.94,20582589.94,103160701.33,9439031.64,4273632.28,0.0,158321305.79,2395442.51,248038291.46,2016-10-01
B,33327271.19,0.0,18483492.73,0.0,84314873.13,164935178.64,864674.15,712486.16,107233156.8,22652174.92,53898211.38,10747543.0,5760649.99,0.0,154723119.66,1338732.24,166470366.44,2016-04-01
B,19214108.52,0.0,12331563.74,0.0,53743909.66,125604983.77,706907.17,1875784.25,90964258.84,19255440.96,26316218.62,9138783.15,9839663.48,0.0,157011348.06,2435101.2,242296282.09,2016-11-01
C,1463624353.36,1977674.28,2198268027.03,1421.03,819348302.42,1664139527.41,21187506.91,1677384.77,5132110288.12,1101732879.58,568393561.38,511021396.92,449516506.6,1729.81,1695782107.17,94588724.82,764826436.59,2016-02-01
C,1566199019.62,134887.86,2443322007.86,1057.58,830282224.49,1606536931.34,14645591.92,1952853.4,5168628609.91,1107511297.75,423133372.21,426599336.78,546723238.81,310.29,1747528187.74,122213951.94,1011896366.02,2016-08-01
C,1519132871.96,695529.53,2713100645.05,9978.44,811902809.69,1814814084.18,24670781.92,200109.53,5143698590.22,1098804922.84,416340543.44,572312013.03,542205551.7,1776.76,1775132982.65,96073208.86,1378223493.38,2016-05-01
C,1409889847.38,2050971.06,2403744596.83,4002.42,886793994.54,1824499438.42,19611117.82,339169.95,5012279968.79,1073812574.02,468113798.91,512734388.56,538561720.22,48134.21,1832675535.93,90370924.57,1245239987.27,2016-06-01
C,1342503039.32,256099.46,2375454589.85,15051.67,1705637262.44,1685465427.23,17944719.31,273348.17,4892749250.55,1056322308.06,902372130.42,492000061.33,661650869.74,4741.34,1720731819.49,87634080.65,2480873672.99,2016-07-01
C,1379221987.45,2235797.03,3133098512.96,366.67,1210664069.37,2155954440.71,16595142.04,3146379.66,5657364264.77,1212230968.18,636194942.79,520900205.17,560277189.23,4269.73,1826325605.15,119132703.92,1080926985.63,2016-12-01
C,1633818001.81,1040859.45,2849757405.91,9117.98,3010670002.51,3359712444.44,109169789.55,630487.68,6030543304.24,1295735323.12,1325159277.67,623615800.05,646795525.63,1263.79,1951565530.42,95494213.69,2453095402.77,2016-01-01
C,1389827526.2,434233.1,2769675514.18,3993.19,1654296197.63,1923188676.63,12839104.61,3015382.67,5287388560.39,1154632740.34,890100309.5,480596126.8,555326715.29,2924.87,1803207160.09,138338602.14,1921631546.04,2016-10-01
C,1444946031.52,1023769.98,2798520048.79,1980.25,1019679098.89,1766001851.84,16388268.17,2994619.35,5428469030.45,1162084056.94,551873386.67,514292122.22,550186958.63,4320.44,1826005444.63,175437143.13,1761926409.27,2016-11-01
C,1460033300.36,842201.1,2675468752.74,618.83,939168113.65,1700977238.24,14342127.72,37910318.3,5382417315.11,1167835519.46,496679881.91,485060715.01,564911266.45,2293.67,1814587333.34,82754485.83,1059938635.42,2016-09-01
C,1587080669.85,3160917.9,2422715494.93,2426.9,1417035780.15,1738658619.17,28363905.32,236067.26,5322772531.61,1137730715.98,710197286.9,516767519.75,500453150.84,1729.81,1768099555.11,95899081.15,772759140.21,2016-03-01
C,1353610694.18,1148225.62,2609027948.14,1927.08,1905381213.26,2097739899.99,22244291.23,201491.28,5260875863.01,1151441110.54,978733149.54,539843629.03,574677833.92,14835.49,1845397100.24,108090621.76,1053330206.52,2016-04-01
D,54869595.17,0.0,5801920.14,0.0,253021150.56,191379775.97,5434112.57,539744.31,997519420.88,199716894.71,133354412.79,2864756.02,693012.32,0.0,161744928.99,306722.14,5902927.02,2016-08-01
D,5328420.02,0.0,2175445.33,0.0,995310108.75,547590056.38,12592106.13,920472.99,1352860067.31,298104642.79,425645649.12,2746902.33,680414.86,0.0,179025502.78,865732.36,1646606.0,2016-01-01
D,41764019.0,0.0,4379396.82,0.0,158644779.3,322489785.67,1792405.13,574586.06,1045026482.17,224575844.52,106153096.63,3178932.67,666172.55,0.0,170566175.13,12195882.6,444382.25,2016-12-01
D,18313997.16,0.0,3529380.06,0.0,210995087.2,202992032.37,4505392.9,3476657.68,968188705.98,200510560.3,111114774.58,1206116.93,3995904.11,0.0,154184224.52,1826363.24,812045.59,2016-09-01
D,23704365.83,0.0,4430390.57,0.0,440598720.74,190382240.75,3828705.0,511412.2,1210651690.42,246407516.42,247633530.68,6608028.38,818340.09,0.0,161220688.36,589000.92,2529529.85,2016-07-01
D,17192462.78,0.0,6982857.43,0.0,207108560.45,222640748.34,2408367.71,497299.86,930337511.63,230774117.15,123132468.05,8247801.9,1126277.71,0.0,141029578.41,341495.66,1354090.0,2016-06-01
D,22293035.24,0.0,7462364.64,0.0,337822530.61,212367747.33,3762876.06,498469.07,1142921762.2,225460660.57,176946023.23,5894001.31,658729.52,82.13,142956408.17,1184883.68,3155024.44,2016-05-01
D,11874933.1,0.0,5732480.22,0.0,616232896.52,216255529.04,1887623.47,652308.65,1417598452.9,304859663.57,313900556.47,8551408.36,661741.99,0.0,144144481.16,415753.75,5163934.63,2016-04-01
