codigo_nj,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas,data
1015,0.0,0.0,0.0,0.0,273445.15,1957391460.11,0.0,0.0,524759.63,410089672.85,195796.98,563546.7,196528006.11,750518594.9,271842431.22,5448860.35,1673085.68,2022-12-01
1015,240.0,0.0,37769.48,0.0,6000801.83,1463244725.54,0.0,0.0,322799.99,284881286.24,2683156.59,426379.15,1983358.81,803670903.78,133418295.92,414891.05,469431.27,2022-10-01
1015,247.97,0.0,2179.1,0.0,455652.53,1467184376.52,0.0,0.0,238814.7,315911499.93,129552.93,218063.79,3001.17,843279386.0,157662433.37,1053591.32,3956116.05,2022-07-01
1015,0.0,0.0,0.0,0.0,642202.76,1426066536.0,0.0,0.0,398734.34,308070017.79,297879.42,199255.6,100312.88,826985304.8,163164222.47,1684201.36,891071.07,2022-05-01
1015,0.0,90220.64,0.0,0.0,449692.67,1436373555.25,0.0,0.0,674515.85,457698806.0,128051.63,287928.38,0.0,842478668.29,170336541.36,34183682.05,442484984.02,2022-03-01
1015,0.0,0.0,0.0,0.0,1677607.26,1461370590.07,24750.79,0.0,272788.45,493781094.09,871580.88,339543.39,3864.53,862175969.42,155390237.44,1917270.93,327922.38,2022-06-01
1015,0.0,0.0,67387.37,423.16,548185.6,1432418720.11,170.26,0.0,408301.47,306372447.38,208384.05,148357.46,0.0,836907020.19,105180587.79,531249.71,628835468.66,2022-02-01
1015,0.0,0.0,26715.34,0.0,3812349.04,1429482177.01,121594.61,0.0,500820.16,275582351.96,1628995.62,1586352.08,0.0,854062786.95,156584721.43,10749779.2,1557902014.05,2022-04-01
1015,0.0,0.0,0.0,0.0,2650480.95,1246272688.85,0.0,0.0,490169.97,365225886.62,1462807.45,30526.37,121.0,839214053.01,70831036.46,589460.6,472097043.2,2022-01-01
1015,22.06,0.0,14.24,0.0,1785904.98,1457274189.25,0.0,0.0,325294.92,350384345.55,104526.27,16240.46,102263.31,820217287.02,168428728.24,41982629.79,385400.58,2022-08-01
1015,160.0,0.0,5014.0,0.0,160240.19,1465383199.15,0.0,0.0,318632.78,379797305.6,100665.57,273100.19,0.0,819554347.27,163250666.5,553143.55,1038124.75,2022-09-01
1015,0.0,6949.5,793.36,0.0,326572.34,2822646601.93,0.0,0.0,307436.82,313972978.61,117746.1,1572467.78,114985650.91,1594807554.59,168610630.32,1267681.74,258222.16,2022-11-01
1023,0.0,0.0,0.0,0.0,0.0,1438876.02,0.0,0.0,128.4,107134161.51,42.8,0.0,5661012.51,2494.64,18919.03,44704.72,0.0,2022-05-01
1023,0.0,0.0,0.0,0.0,23.9,151250.94,0.0,0.0,427333.72,83225695.8,11.48,0.0,889766764.68,2494.64,68783.5,27694.85,29532.8,2022-11-01
1023,0.0,0.0,0.0,0.0,23.9,147737.75,0.0,0.0,0.0,93315081.22,1588.86,0.0,7163404.65,2494.64,227517.17,13722.27,11750.25,2022-10-01
1023,0.0,0.0,0.0,0.0,152.99,535626.59,0.0,0.0,16.75,107324782.44,1509.44,0.0,5634060.4,2391.28,5417.3,55377.35,12274.05,2022-04-01
1023,0.0,0.0,0.0,0.0,47.8,894656.44,0.0,0.0,54.0,109918929.41,18.0,0.0,6039512.98,4989.28,5667.71,36510.48,2102.85,2022-08-01
